"Statistic Label","County","Sex","CensusYear","UNIT","VALUE"
"Population at Each Census 1841 to 2016","Laois","Both sexes","1951","Number","48430"
"Population at Each Census 1841 to 2016","Laois","Both sexes","1956","Number","47087"
"Population at Each Census 1841 to 2016","Laois","Both sexes","1961","Number","45069"
"Population at Each Census 1841 to 2016","Laois","Both sexes","1966","Number","44595"
"Population at Each Census 1841 to 2016","Laois","Both sexes","1971","Number","45259"
"Population at Each Census 1841 to 2016","Laois","Both sexes","1979","Number","49936"
"Population at Each Census 1841 to 2016","Laois","Both sexes","1981","Number","51171"
"Population at Each Census 1841 to 2016","Laois","Both sexes","1986","Number","53284"
"Population at Each Census 1841 to 2016","Laois","Both sexes","1991","Number","52314"
"Population at Each Census 1841 to 2016","Laois","Both sexes","1996","Number","52945"
"Population at Each Census 1841 to 2016","Laois","Both sexes","2002","Number","58774"
"Population at Each Census 1841 to 2016","Laois","Both sexes","2006","Number","67059"
"Population at Each Census 1841 to 2016","Laois","Both sexes","2011","Number","80559"
"Population at Each Census 1841 to 2016","Laois","Both sexes","2016","Number","84697"
"Population at Each Census 1841 to 2016","Laois","Male","1841","Number","76403"
"Population at Each Census 1841 to 2016","Laois","Male","1851","Number","55556"
"Population at Each Census 1841 to 2016","Laois","Male","1861","Number","45112"
"Population at Each Census 1841 to 2016","Laois","Male","1871","Number","39843"
"Population at Each Census 1841 to 2016","Laois","Male","1881","Number","36861"
"Population at Each Census 1841 to 2016","Laois","Male","1891","Number","33171"
"Population at Each Census 1841 to 2016","Laois","Male","1901","Number","29694"
"Population at Each Census 1841 to 2016","Laois","Male","1911","Number","28711"
"Population at Each Census 1841 to 2016","Laois","Male","1926","Number","27198"
"Population at Each Census 1841 to 2016","Laois","Male","1936","Number","27149"
"Population at Each Census 1841 to 2016","Laois","Male","1946","Number","26751"
"Population at Each Census 1841 to 2016","Laois","Male","1951","Number","26154"
"Population at Each Census 1841 to 2016","Laois","Male","1956","Number","25233"
"Population at Each Census 1841 to 2016","Laois","Male","1961","Number","23989"
"Population at Each Census 1841 to 2016","Laois","Male","1966","Number","23622"
"Population at Each Census 1841 to 2016","Laois","Male","1971","Number","23805"
"Population at Each Census 1841 to 2016","Laois","Male","1979","Number","26192"
"Population at Each Census 1841 to 2016","Laois","Male","1981","Number","26774"
"Population at Each Census 1841 to 2016","Laois","Male","1986","Number","27531"
"Population at Each Census 1841 to 2016","Laois","Male","1991","Number","26904"
"Population at Each Census 1841 to 2016","Laois","Male","1996","Number","27160"
"Population at Each Census 1841 to 2016","Laois","Male","2002","Number","30131"
"Population at Each Census 1841 to 2016","Laois","Male","2006","Number","34409"
"Population at Each Census 1841 to 2016","Laois","Male","2011","Number","40587"
"Population at Each Census 1841 to 2016","Laois","Male","2016","Number","42811"
"Population at Each Census 1841 to 2016","Laois","Female","1841","Number","77527"
"Population at Each Census 1841 to 2016","Laois","Female","1851","Number","56108"
"Population at Each Census 1841 to 2016","Laois","Female","1861","Number","45538"
"Population at Each Census 1841 to 2016","Laois","Female","1871","Number","39928"
"Population at Each Census 1841 to 2016","Laois","Female","1881","Number","36263"
"Population at Each Census 1841 to 2016","Laois","Female","1891","Number","31712"
"Population at Each Census 1841 to 2016","Laois","Female","1901","Number","27723"
"Population at Each Census 1841 to 2016","Laois","Female","1911","Number","25918"
"Population at Each Census 1841 to 2016","Laois","Female","1926","Number","24342"
"Population at Each Census 1841 to 2016","Laois","Female","1936","Number","22960"
"Population at Each Census 1841 to 2016","Laois","Female","1946","Number","22946"
"Population at Each Census 1841 to 2016","Laois","Female","1951","Number","22276"
"Population at Each Census 1841 to 2016","Laois","Female","1956","Number","21854"
"Population at Each Census 1841 to 2016","Laois","Female","1961","Number","21080"
"Population at Each Census 1841 to 2016","Laois","Female","1966","Number","20973"
"Population at Each Census 1841 to 2016","Laois","Female","1971","Number","21454"
"Population at Each Census 1841 to 2016","Laois","Female","1979","Number","23744"
"Population at Each Census 1841 to 2016","Laois","Female","1981","Number","24397"
"Population at Each Census 1841 to 2016","Laois","Female","1986","Number","25753"
"Population at Each Census 1841 to 2016","Laois","Female","1991","Number","25410"
"Population at Each Census 1841 to 2016","Laois","Female","1996","Number","25785"
"Population at Each Census 1841 to 2016","Laois","Female","2002","Number","28643"
"Population at Each Census 1841 to 2016","Laois","Female","2006","Number","32650"
"Population at Each Census 1841 to 2016","Laois","Female","2011","Number","39972"
"Population at Each Census 1841 to 2016","Laois","Female","2016","Number","41886"
"Population at Each Census 1841 to 2016","Longford","Both sexes","1841","Number","115491"
"Population at Each Census 1841 to 2016","Longford","Both sexes","1851","Number","82348"
"Population at Each Census 1841 to 2016","Longford","Both sexes","1861","Number","71694"
"Population at Each Census 1841 to 2016","Longford","Both sexes","1871","Number","64501"
"Population at Each Census 1841 to 2016","Longford","Both sexes","1881","Number","61009"
"Population at Each Census 1841 to 2016","Longford","Both sexes","1891","Number","52647"
"Population at Each Census 1841 to 2016","Longford","Both sexes","1901","Number","46672"
"Population at Each Census 1841 to 2016","Longford","Both sexes","1911","Number","43820"
"Population at Each Census 1841 to 2016","Longford","Both sexes","1926","Number","39847"
"Population at Each Census 1841 to 2016","Longford","Both sexes","1936","Number","37847"
"Population at Each Census 1841 to 2016","Longford","Both sexes","1946","Number","36218"
"Population at Each Census 1841 to 2016","Longford","Both sexes","1951","Number","34553"
"Population at Each Census 1841 to 2016","Longford","Both sexes","1956","Number","32969"
"Population at Each Census 1841 to 2016","Longford","Both sexes","1961","Number","30643"
"Population at Each Census 1841 to 2016","Longford","Both sexes","1966","Number","28989"
"Population at Each Census 1841 to 2016","Longford","Both sexes","1971","Number","28250"
"Population at Each Census 1841 to 2016","Longford","Both sexes","1979","Number","30785"
"Population at Each Census 1841 to 2016","Longford","Both sexes","1981","Number","31140"
"Population at Each Census 1841 to 2016","Longford","Both sexes","1986","Number","31496"
"Population at Each Census 1841 to 2016","Longford","Both sexes","1991","Number","30296"
"Population at Each Census 1841 to 2016","Longford","Both sexes","1996","Number","30166"
"Population at Each Census 1841 to 2016","Longford","Both sexes","2002","Number","31068"
"Population at Each Census 1841 to 2016","Longford","Both sexes","2006","Number","34391"
"Population at Each Census 1841 to 2016","Longford","Both sexes","2011","Number","39000"
"Population at Each Census 1841 to 2016","Longford","Both sexes","2016","Number","40873"
"Population at Each Census 1841 to 2016","Longford","Male","1841","Number","57610"
"Population at Each Census 1841 to 2016","Longford","Male","1851","Number","41041"
"Population at Each Census 1841 to 2016","Longford","Male","1861","Number","36044"
"Population at Each Census 1841 to 2016","Longford","Male","1871","Number","32512"
"Population at Each Census 1841 to 2016","Longford","Male","1881","Number","30770"
"Population at Each Census 1841 to 2016","Longford","Male","1891","Number","26681"
"Population at Each Census 1841 to 2016","Longford","Male","1901","Number","23814"
"Population at Each Census 1841 to 2016","Longford","Male","1911","Number","22656"
"Population at Each Census 1841 to 2016","Longford","Male","1926","Number","20805"
"Population at Each Census 1841 to 2016","Longford","Male","1936","Number","20152"
"Population at Each Census 1841 to 2016","Longford","Male","1946","Number","19322"
"Population at Each Census 1841 to 2016","Longford","Male","1951","Number","18388"
"Population at Each Census 1841 to 2016","Longford","Male","1956","Number","17477"
"Population at Each Census 1841 to 2016","Longford","Male","1961","Number","16133"
"Population at Each Census 1841 to 2016","Longford","Male","1966","Number","15245"
"Population at Each Census 1841 to 2016","Longford","Male","1971","Number","14891"
"Population at Each Census 1841 to 2016","Longford","Male","1979","Number","16059"
"Population at Each Census 1841 to 2016","Longford","Male","1981","Number","16234"
"Population at Each Census 1841 to 2016","Longford","Male","1986","Number","16153"
"Population at Each Census 1841 to 2016","Longford","Male","1991","Number","15542"
"Population at Each Census 1841 to 2016","Longford","Male","1996","Number","15468"
"Population at Each Census 1841 to 2016","Longford","Male","2002","Number","15794"
"Population at Each Census 1841 to 2016","Longford","Male","2006","Number","17573"
"Population at Each Census 1841 to 2016","Longford","Male","2011","Number","19649"
"Population at Each Census 1841 to 2016","Longford","Male","2016","Number","20587"
"Population at Each Census 1841 to 2016","Longford","Female","1841","Number","57881"
"Population at Each Census 1841 to 2016","Longford","Female","1851","Number","41307"
"Population at Each Census 1841 to 2016","Longford","Female","1861","Number","35650"
"Population at Each Census 1841 to 2016","Longford","Female","1871","Number","31989"
"Population at Each Census 1841 to 2016","Longford","Female","1881","Number","30239"
"Population at Each Census 1841 to 2016","Longford","Female","1891","Number","25966"
"Population at Each Census 1841 to 2016","Longford","Female","1901","Number","22858"
"Population at Each Census 1841 to 2016","Longford","Female","1911","Number","21164"
"Population at Each Census 1841 to 2016","Longford","Female","1926","Number","19042"
"Population at Each Census 1841 to 2016","Longford","Female","1936","Number","17695"
"Population at Each Census 1841 to 2016","Longford","Female","1946","Number","16896"
"Population at Each Census 1841 to 2016","Longford","Female","1951","Number","16165"
"Population at Each Census 1841 to 2016","Longford","Female","1956","Number","15492"
"Population at Each Census 1841 to 2016","Longford","Female","1961","Number","14510"
"Population at Each Census 1841 to 2016","Longford","Female","1966","Number","13744"
"Population at Each Census 1841 to 2016","Longford","Female","1971","Number","13359"
"Population at Each Census 1841 to 2016","Longford","Female","1979","Number","14726"
"Population at Each Census 1841 to 2016","Longford","Female","1981","Number","14906"
"Population at Each Census 1841 to 2016","Longford","Female","1986","Number","15343"
"Population at Each Census 1841 to 2016","Longford","Female","1991","Number","14754"
"Population at Each Census 1841 to 2016","Longford","Female","1996","Number","14698"
"Population at Each Census 1841 to 2016","Longford","Female","2002","Number","15274"
"Population at Each Census 1841 to 2016","Longford","Female","2006","Number","16818"
"Population at Each Census 1841 to 2016","Longford","Female","2011","Number","19351"
"Population at Each Census 1841 to 2016","Longford","Female","2016","Number","20286"
"Population at Each Census 1841 to 2016","Louth","Both sexes","1841","Number","128240"
"Population at Each Census 1841 to 2016","Louth","Both sexes","1851","Number","107662"
"Population at Each Census 1841 to 2016","Louth","Both sexes","1861","Number","90713"
"Population at Each Census 1841 to 2016","Louth","Both sexes","1871","Number","84021"
"Population at Each Census 1841 to 2016","Louth","Both sexes","1881","Number","77684"
"Population at Each Census 1841 to 2016","Louth","Both sexes","1891","Number","71038"
"Population at Each Census 1841 to 2016","Louth","Both sexes","1901","Number","65820"
"Population at Each Census 1841 to 2016","Louth","Both sexes","1911","Number","63665"
"Population at Each Census 1841 to 2016","Louth","Both sexes","1926","Number","62739"
"Population at Each Census 1841 to 2016","Louth","Both sexes","1936","Number","64339"
"Population at Each Census 1841 to 2016","Louth","Both sexes","1946","Number","66194"
"Population at Each Census 1841 to 2016","Louth","Both sexes","1951","Number","68771"
"Population at Each Census 1841 to 2016","Louth","Both sexes","1956","Number","69194"
"Population at Each Census 1841 to 2016","Louth","Both sexes","1961","Number","67378"
"Population at Each Census 1841 to 2016","Louth","Both sexes","1966","Number","69519"
"Population at Each Census 1841 to 2016","Louth","Both sexes","1971","Number","74951"
"Population at Each Census 1841 to 2016","Louth","Both sexes","1979","Number","86135"
"Population at Each Census 1841 to 2016","Louth","Both sexes","1981","Number","88514"
"Population at Each Census 1841 to 2016","Louth","Both sexes","1986","Number","91810"
"Population at Each Census 1841 to 2016","Louth","Both sexes","1991","Number","90724"
"Population at Each Census 1841 to 2016","Louth","Both sexes","1996","Number","92166"
"Population at Each Census 1841 to 2016","Louth","Both sexes","2002","Number","101821"
"Population at Each Census 1841 to 2016","Louth","Both sexes","2006","Number","111267"
"Population at Each Census 1841 to 2016","Louth","Both sexes","2011","Number","122897"
"Population at Each Census 1841 to 2016","Louth","Both sexes","2016","Number","128884"
"Population at Each Census 1841 to 2016","Louth","Male","1841","Number","62297"
"Population at Each Census 1841 to 2016","Louth","Male","1851","Number","52257"
"Population at Each Census 1841 to 2016","Louth","Male","1861","Number","44241"
"Population at Each Census 1841 to 2016","Louth","Male","1871","Number","41033"
"Population at Each Census 1841 to 2016","Louth","Male","1881","Number","37989"
"Population at Each Census 1841 to 2016","Louth","Male","1891","Number","35242"
"Population at Each Census 1841 to 2016","Louth","Male","1901","Number","32666"
"Population at Each Census 1841 to 2016","Louth","Male","1911","Number","32191"
"Population at Each Census 1841 to 2016","Louth","Male","1926","Number","31749"
"Population at Each Census 1841 to 2016","Louth","Male","1936","Number","32829"
"Population at Each Census 1841 to 2016","Louth","Male","1946","Number","33399"
"Population at Each Census 1841 to 2016","Louth","Male","1951","Number","34886"
"Population at Each Census 1841 to 2016","Louth","Male","1956","Number","34788"
"Population at Each Census 1841 to 2016","Louth","Male","1961","Number","33627"
"Population at Each Census 1841 to 2016","Louth","Male","1966","Number","34664"
"Population at Each Census 1841 to 2016","Louth","Male","1971","Number","37511"
"Population at Each Census 1841 to 2016","Louth","Male","1979","Number","43061"
"Population at Each Census 1841 to 2016","Louth","Male","1981","Number","44125"
"Population at Each Census 1841 to 2016","Louth","Male","1986","Number","45530"
"Population at Each Census 1841 to 2016","Louth","Male","1991","Number","44823"
"Population at Each Census 1841 to 2016","Louth","Male","1996","Number","45641"
"Population at Each Census 1841 to 2016","Louth","Male","2002","Number","50489"
"Population at Each Census 1841 to 2016","Louth","Male","2006","Number","55335"
"Population at Each Census 1841 to 2016","Louth","Male","2011","Number","60763"
"Population at Each Census 1841 to 2016","Louth","Male","2016","Number","63633"
"Population at Each Census 1841 to 2016","Louth","Female","1841","Number","65943"
"Population at Each Census 1841 to 2016","Louth","Female","1851","Number","55405"
"Population at Each Census 1841 to 2016","Louth","Female","1861","Number","46472"
"Population at Each Census 1841 to 2016","Louth","Female","1871","Number","42988"
"Population at Each Census 1841 to 2016","Louth","Female","1881","Number","39695"
"Population at Each Census 1841 to 2016","Louth","Female","1891","Number","35796"
"Population at Each Census 1841 to 2016","Louth","Female","1901","Number","33154"
"Population at Each Census 1841 to 2016","Louth","Female","1911","Number","31474"
"Population at Each Census 1841 to 2016","Louth","Female","1926","Number","30990"
"Population at Each Census 1841 to 2016","Louth","Female","1936","Number","31510"
"Population at Each Census 1841 to 2016","Louth","Female","1946","Number","32795"
"Population at Each Census 1841 to 2016","Louth","Female","1951","Number","33885"
"Population at Each Census 1841 to 2016","Louth","Female","1956","Number","34406"
"Population at Each Census 1841 to 2016","Louth","Female","1961","Number","33751"
"Population at Each Census 1841 to 2016","Louth","Female","1966","Number","34855"
"Population at Each Census 1841 to 2016","Louth","Female","1971","Number","37440"
"Population at Each Census 1841 to 2016","Louth","Female","1979","Number","43074"
"Population at Each Census 1841 to 2016","Louth","Female","1981","Number","44389"
"Population at Each Census 1841 to 2016","Louth","Female","1986","Number","46280"
"Population at Each Census 1841 to 2016","Louth","Female","1991","Number","45901"
"Population at Each Census 1841 to 2016","Louth","Female","1996","Number","46525"
"Population at Each Census 1841 to 2016","Louth","Female","2002","Number","51332"
"Population at Each Census 1841 to 2016","Louth","Female","2006","Number","55932"
"Population at Each Census 1841 to 2016","Louth","Female","2011","Number","62134"
"Population at Each Census 1841 to 2016","Louth","Female","2016","Number","65251"
"Population at Each Census 1841 to 2016","Meath","Both sexes","1841","Number","183828"
"Population at Each Census 1841 to 2016","Meath","Both sexes","1851","Number","140748"
"Population at Each Census 1841 to 2016","Meath","Both sexes","1861","Number","110373"
"Population at Each Census 1841 to 2016","Meath","Both sexes","1871","Number","95558"
"Population at Each Census 1841 to 2016","Meath","Both sexes","1881","Number","87469"
"Population at Each Census 1841 to 2016","Meath","Both sexes","1891","Number","76987"
"Population at Each Census 1841 to 2016","Meath","Both sexes","1901","Number","67497"
"Population at Each Census 1841 to 2016","Meath","Both sexes","1911","Number","65091"
"Population at Each Census 1841 to 2016","Meath","Both sexes","1926","Number","62969"
"Population at Each Census 1841 to 2016","Meath","Both sexes","1936","Number","61405"
"Population at Each Census 1841 to 2016","Meath","Both sexes","1946","Number","66232"
"Population at Each Census 1841 to 2016","Meath","Both sexes","1951","Number","66337"
"Population at Each Census 1841 to 2016","Meath","Both sexes","1956","Number","66762"
"Population at Each Census 1841 to 2016","Meath","Both sexes","1961","Number","65122"
"Population at Each Census 1841 to 2016","Meath","Both sexes","1966","Number","67323"
"Population at Each Census 1841 to 2016","Meath","Both sexes","1971","Number","71729"
"Population at Each Census 1841 to 2016","Meath","Both sexes","1979","Number","90715"
"Population at Each Census 1841 to 2016","Meath","Both sexes","1981","Number","95419"
"Population at Each Census 1841 to 2016","Meath","Both sexes","1986","Number","103881"
"Population at Each Census 1841 to 2016","Meath","Both sexes","1991","Number","105370"
"Population at Each Census 1841 to 2016","Meath","Both sexes","1996","Number","109732"
"Population at Each Census 1841 to 2016","Meath","Both sexes","2002","Number","134005"
"Population at Each Census 1841 to 2016","Meath","Both sexes","2006","Number","162831"
"Population at Each Census 1841 to 2016","Meath","Both sexes","2011","Number","184135"
"Population at Each Census 1841 to 2016","Meath","Both sexes","2016","Number","195044"
"Population at Each Census 1841 to 2016","Meath","Male","1841","Number","92494"
"Population at Each Census 1841 to 2016","Meath","Male","1851","Number","70813"
"Population at Each Census 1841 to 2016","Meath","Male","1861","Number","55800"
"Population at Each Census 1841 to 2016","Meath","Male","1871","Number","48437"
"Population at Each Census 1841 to 2016","Meath","Male","1881","Number","44315"
"Population at Each Census 1841 to 2016","Meath","Male","1891","Number","39224"
"Population at Each Census 1841 to 2016","Meath","Male","1901","Number","34757"
"Population at Each Census 1841 to 2016","Meath","Male","1911","Number","33934"
"Population at Each Census 1841 to 2016","Meath","Male","1926","Number","33082"
"Population at Each Census 1841 to 2016","Meath","Male","1936","Number","32501"
"Population at Each Census 1841 to 2016","Meath","Male","1946","Number","34950"
"Population at Each Census 1841 to 2016","Meath","Male","1951","Number","34980"
"Population at Each Census 1841 to 2016","Meath","Male","1956","Number","34830"
"Population at Each Census 1841 to 2016","Meath","Male","1961","Number","33826"
"Population at Each Census 1841 to 2016","Meath","Male","1966","Number","34877"
"Population at Each Census 1841 to 2016","Meath","Male","1971","Number","36977"
"Population at Each Census 1841 to 2016","Meath","Male","1979","Number","46704"
"Population at Each Census 1841 to 2016","Meath","Male","1981","Number","48957"
"Population at Each Census 1841 to 2016","Meath","Male","1986","Number","52931"
"Population at Each Census 1841 to 2016","Meath","Male","1991","Number","53291"
"Population at Each Census 1841 to 2016","Meath","Male","1996","Number","55340"
"Population at Each Census 1841 to 2016","Meath","Male","2002","Number","67733"
"Population at Each Census 1841 to 2016","Meath","Male","2006","Number","82651"
"Population at Each Census 1841 to 2016","Meath","Male","2011","Number","91910"
"Population at Each Census 1841 to 2016","Meath","Male","2016","Number","96776"
"Population at Each Census 1841 to 2016","Meath","Female","1841","Number","91334"
"Population at Each Census 1841 to 2016","Meath","Female","1851","Number","69935"
"Population at Each Census 1841 to 2016","Meath","Female","1861","Number","54573"
"Population at Each Census 1841 to 2016","Meath","Female","1871","Number","47121"
"Population at Each Census 1841 to 2016","Meath","Female","1881","Number","43154"
"Population at Each Census 1841 to 2016","Meath","Female","1891","Number","37763"
"Population at Each Census 1841 to 2016","Meath","Female","1901","Number","32740"
"Population at Each Census 1841 to 2016","Meath","Female","1911","Number","31157"
"Population at Each Census 1841 to 2016","Meath","Female","1926","Number","29887"
"Population at Each Census 1841 to 2016","Meath","Female","1936","Number","28904"
"Population at Each Census 1841 to 2016","Meath","Female","1946","Number","31282"
"Population at Each Census 1841 to 2016","Meath","Female","1951","Number","31357"
"Population at Each Census 1841 to 2016","Meath","Female","1956","Number","31932"
"Population at Each Census 1841 to 2016","Meath","Female","1961","Number","31296"
"Population at Each Census 1841 to 2016","Meath","Female","1966","Number","32446"
"Population at Each Census 1841 to 2016","Meath","Female","1971","Number","34752"
"Population at Each Census 1841 to 2016","Meath","Female","1979","Number","44011"
"Population at Each Census 1841 to 2016","Meath","Female","1981","Number","46462"
"Population at Each Census 1841 to 2016","Meath","Female","1986","Number","50950"
"Population at Each Census 1841 to 2016","Meath","Female","1991","Number","52079"
"Population at Each Census 1841 to 2016","Meath","Female","1996","Number","54392"
"Population at Each Census 1841 to 2016","Meath","Female","2002","Number","66272"
"Population at Each Census 1841 to 2016","Meath","Female","2006","Number","80180"
"Population at Each Census 1841 to 2016","Meath","Female","2011","Number","92225"
"Population at Each Census 1841 to 2016","Meath","Female","2016","Number","98268"
"Population at Each Census 1841 to 2016","Offaly","Both sexes","1841","Number","146857"
"Population at Each Census 1841 to 2016","Offaly","Both sexes","1851","Number","112076"
"Population at Each Census 1841 to 2016","Offaly","Both sexes","1861","Number","90043"
"Population at Each Census 1841 to 2016","Offaly","Both sexes","1871","Number","75900"
"Population at Each Census 1841 to 2016","Offaly","Both sexes","1881","Number","72852"
"Population at Each Census 1841 to 2016","Offaly","Both sexes","1891","Number","65563"
"Population at Each Census 1841 to 2016","Offaly","Both sexes","1901","Number","60187"
"Population at Each Census 1841 to 2016","Offaly","Both sexes","1911","Number","56832"
"Population at Each Census 1841 to 2016","Offaly","Both sexes","1926","Number","52592"
"Population at Each Census 1841 to 2016","Offaly","Both sexes","1936","Number","51308"
"Population at Each Census 1841 to 2016","Offaly","Both sexes","1946","Number","53686"
"Population at Each Census 1841 to 2016","Offaly","Both sexes","1951","Number","52544"
"Population at Each Census 1841 to 2016","Offaly","Both sexes","1956","Number","51970"
"Population at Each Census 1841 to 2016","Offaly","Both sexes","1961","Number","51533"
"Population at Each Census 1841 to 2016","Offaly","Both sexes","1966","Number","51717"
"Population at Each Census 1841 to 2016","Offaly","Both sexes","1971","Number","51829"
"Population at Each Census 1841 to 2016","Offaly","Both sexes","1979","Number","57342"
"Population at Each Census 1841 to 2016","Offaly","Both sexes","1981","Number","58312"
"Population at Each Census 1841 to 2016","Offaly","Both sexes","1986","Number","59835"
"Population at Each Census 1841 to 2016","Offaly","Both sexes","1991","Number","58494"
"Population at Each Census 1841 to 2016","Offaly","Both sexes","1996","Number","59117"
"Population at Each Census 1841 to 2016","Offaly","Both sexes","2002","Number","63663"
"Population at Each Census 1841 to 2016","Offaly","Both sexes","2006","Number","70868"
"Population at Each Census 1841 to 2016","Offaly","Both sexes","2011","Number","76687"
"Population at Each Census 1841 to 2016","Offaly","Both sexes","2016","Number","77961"
"Population at Each Census 1841 to 2016","Offaly","Male","1841","Number","72651"
"Population at Each Census 1841 to 2016","Offaly","Male","1851","Number","55284"
"Population at Each Census 1841 to 2016","Offaly","Male","1861","Number","45513"
"Population at Each Census 1841 to 2016","Offaly","Male","1871","Number","38307"
"Population at Each Census 1841 to 2016","Offaly","Male","1881","Number","37106"
"Population at Each Census 1841 to 2016","Offaly","Male","1891","Number","33777"
"Population at Each Census 1841 to 2016","Offaly","Male","1901","Number","31065"
"Population at Each Census 1841 to 2016","Offaly","Male","1911","Number","29804"
"Population at Each Census 1841 to 2016","Offaly","Male","1926","Number","27566"
"Population at Each Census 1841 to 2016","Offaly","Male","1936","Number","27555"
"Population at Each Census 1841 to 2016","Offaly","Male","1946","Number","29311"
"Population at Each Census 1841 to 2016","Offaly","Male","1951","Number","28306"
"Population at Each Census 1841 to 2016","Offaly","Male","1956","Number","27591"
"Population at Each Census 1841 to 2016","Offaly","Male","1961","Number","27188"
"Population at Each Census 1841 to 2016","Offaly","Male","1966","Number","27007"
"Population at Each Census 1841 to 2016","Offaly","Male","1971","Number","27029"
"Population at Each Census 1841 to 2016","Offaly","Male","1979","Number","29792"
"Population at Each Census 1841 to 2016","Offaly","Male","1981","Number","30290"
"Population at Each Census 1841 to 2016","Offaly","Male","1986","Number","30819"
"Population at Each Census 1841 to 2016","Offaly","Male","1991","Number","29892"
"Population at Each Census 1841 to 2016","Offaly","Male","1996","Number","30003"
"Population at Each Census 1841 to 2016","Offaly","Male","2002","Number","32185"
"Population at Each Census 1841 to 2016","Offaly","Male","2006","Number","35937"
"Population at Each Census 1841 to 2016","Offaly","Male","2011","Number","38430"
"Population at Each Census 1841 to 2016","Offaly","Male","2016","Number","38838"
"Population at Each Census 1841 to 2016","Offaly","Female","1841","Number","74206"
"Population at Each Census 1841 to 2016","Offaly","Female","1851","Number","56792"
"Population at Each Census 1841 to 2016","Offaly","Female","1861","Number","44530"
"Population at Each Census 1841 to 2016","Offaly","Female","1871","Number","37593"
"Population at Each Census 1841 to 2016","Offaly","Female","1881","Number","35746"
"Population at Each Census 1841 to 2016","Offaly","Female","1891","Number","31786"
"Population at Each Census 1841 to 2016","Offaly","Female","1901","Number","29122"
"Population at Each Census 1841 to 2016","Offaly","Female","1911","Number","27028"
"Population at Each Census 1841 to 2016","Offaly","Female","1926","Number","25026"
"Population at Each Census 1841 to 2016","Offaly","Female","1936","Number","23753"
"Population at Each Census 1841 to 2016","Offaly","Female","1946","Number","24375"
"Population at Each Census 1841 to 2016","Offaly","Female","1951","Number","24238"
"Population at Each Census 1841 to 2016","Offaly","Female","1956","Number","24379"
"Population at Each Census 1841 to 2016","Offaly","Female","1961","Number","24345"
"Population at Each Census 1841 to 2016","Offaly","Female","1966","Number","24710"
"Population at Each Census 1841 to 2016","Offaly","Female","1971","Number","24800"
"Population at Each Census 1841 to 2016","Offaly","Female","1979","Number","27550"
"Population at Each Census 1841 to 2016","Offaly","Female","1981","Number","28022"
"Population at Each Census 1841 to 2016","Offaly","Female","1986","Number","29016"
"Population at Each Census 1841 to 2016","Offaly","Female","1991","Number","28602"
"Population at Each Census 1841 to 2016","Offaly","Female","1996","Number","29114"
"Population at Each Census 1841 to 2016","Offaly","Female","2002","Number","31478"
"Population at Each Census 1841 to 2016","Offaly","Female","2006","Number","34931"
"Population at Each Census 1841 to 2016","Offaly","Female","2011","Number","38257"
"Population at Each Census 1841 to 2016","Offaly","Female","2016","Number","39123"
"Population at Each Census 1841 to 2016","Westmeath","Both sexes","1841","Number","141300"
"Population at Each Census 1841 to 2016","Westmeath","Both sexes","1851","Number","111407"
"Population at Each Census 1841 to 2016","Westmeath","Both sexes","1861","Number","90879"
"Population at Each Census 1841 to 2016","Westmeath","Both sexes","1871","Number","78432"
"Population at Each Census 1841 to 2016","Westmeath","Both sexes","1881","Number","71798"
"Population at Each Census 1841 to 2016","Westmeath","Both sexes","1891","Number","65109"
"Population at Each Census 1841 to 2016","Westmeath","Both sexes","1901","Number","61629"
"Population at Each Census 1841 to 2016","Westmeath","Both sexes","1911","Number","59986"
"Population at Each Census 1841 to 2016","Westmeath","Both sexes","1926","Number","56818"
"Population at Each Census 1841 to 2016","Westmeath","Both sexes","1936","Number","54706"
"Population at Each Census 1841 to 2016","Westmeath","Both sexes","1946","Number","54949"
"Population at Each Census 1841 to 2016","Westmeath","Both sexes","1951","Number","54463"
"Population at Each Census 1841 to 2016","Westmeath","Both sexes","1956","Number","54122"
"Population at Each Census 1841 to 2016","Westmeath","Both sexes","1961","Number","52861"
"Population at Each Census 1841 to 2016","Westmeath","Both sexes","1966","Number","52900"
"Population at Each Census 1841 to 2016","Westmeath","Both sexes","1971","Number","53570"
"Population at Each Census 1841 to 2016","Westmeath","Both sexes","1979","Number","59885"
"Population at Each Census 1841 to 2016","Westmeath","Both sexes","1981","Number","61523"
"Population at Each Census 1841 to 2016","Westmeath","Both sexes","1986","Number","63379"
"Population at Each Census 1841 to 2016","Westmeath","Both sexes","1991","Number","61880"
"Population at Each Census 1841 to 2016","Westmeath","Both sexes","1996","Number","63314"
"Population at Each Census 1841 to 2016","Westmeath","Both sexes","2002","Number","71858"
"Population at Each Census 1841 to 2016","Westmeath","Both sexes","2006","Number","79346"
"Population at Each Census 1841 to 2016","Westmeath","Both sexes","2011","Number","86164"
"Population at Each Census 1841 to 2016","Westmeath","Both sexes","2016","Number","88770"
"Population at Each Census 1841 to 2016","Westmeath","Male","1841","Number","70383"
"Population at Each Census 1841 to 2016","Westmeath","Male","1851","Number","56095"
"Population at Each Census 1841 to 2016","Westmeath","Male","1861","Number","46218"
"Population at Each Census 1841 to 2016","Westmeath","Male","1871","Number","39804"
"Population at Each Census 1841 to 2016","Westmeath","Male","1881","Number","36478"
