"Statistic Label","CensusYear","Sex","Age Group","Birthplace","UNIT","VALUE"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Ghana","Number","364"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Côte d'Ivoire","Number","117"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Kenya","Number","169"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Liberia","Number","111"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Libya","Number","195"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Malawi","Number","95"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Mauritius","Number","1105"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Morocco","Number","322"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Nigeria","Number","4677"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Sierra Leone","Number","185"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Somalia","Number","394"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","South Africa","Number","1861"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Sudan (the)","Number","596"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Tanzania, the United Republic of","Number","45"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Togo","Number","113"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Tunisia","Number","146"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Uganda","Number","88"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Zambia","Number","190"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Zimbabwe","Number","641"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Other Africa(2)","Number","541"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Afghanistan","Number","267"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Bahrain","Number","28"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Bangladesh","Number","1383"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Myanmar","Number","70"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","China","Number","3769"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","United Arab Emirates (the)","Number","68"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Georgia","Number","214"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Hong Kong","Number","282"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","India","Number","6447"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Indonesia","Number","66"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Iran (Islamic Republic of)","Number","368"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Iraq","Number","416"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Israel","Number","114"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Japan","Number","103"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Jordan","Number","98"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Kazakhstan","Number","86"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Kuwait","Number","132"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Lao People's Democratic Republic (the)","Number","5"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Lebanon","Number","100"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Malaysia","Number","1071"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Mongolia","Number","186"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Nepal","Number","193"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Oman","Number","21"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Pakistan","Number","3385"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Philippines (the)","Number","3025"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Saudi Arabia","Number","290"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Singapore","Number","65"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Korea (the Republic of) South Korea","Number","106"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Sri Lanka","Number","210"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Syrian Arab Republic (the)","Number","116"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Taiwan (Province of China)","Number","15"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Thailand","Number","185"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Uzbekistan","Number","51"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Viet Nam","Number","266"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Other Asia(1)","Number","345"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","United States of America (the)","Number","3062"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Argentina","Number","262"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Brazil","Number","2906"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Canada","Number","937"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Chile","Number","70"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Colombia","Number","69"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Cuba","Number","48"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Guatemala","Number","12"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Jamaica","Number","37"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Mexico","Number","176"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Peru","Number","63"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Trinidad and Tobago","Number","36"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Venezuela (Bolivarian Republic of)","Number","147"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Other America(2)","Number","279"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Australia","Number","1272"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","New Zealand","Number","646"
"Population Usually Resident and Present in the State","2011","Male","25 - 44 years","Other countries","Number","56"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","All countries","Number","512659"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Ireland - county of usual residence","Number","326576"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Ireland - county other than county of usual residence","Number","109799"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Northern Ireland","Number","8673"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Scotland","Number","3194"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","England and Wales","Number","33949"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Austria","Number","56"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Belgium","Number","136"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Bulgaria","Number","164"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Croatia","Number","78"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Cyprus","Number","50"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Czechia","Number","332"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Denmark","Number","76"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Estonia","Number","119"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Finland","Number","38"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","France","Number","529"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Germany","Number","1354"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Greece","Number","51"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Hungary","Number","335"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Italy","Number","608"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Latvia","Number","940"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Lithuania","Number","1698"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Luxembourg","Number","4"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Malta","Number","67"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Netherlands (the)","Number","687"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Poland","Number","5406"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Portugal","Number","163"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Romania","Number","865"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Slovakia","Number","523"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Slovenia","Number","17"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Spain","Number","185"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Sweden","Number","101"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Albania","Number","53"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Belarus","Number","60"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Bosnia and Herzegovina","Number","164"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Kosovo","Number","58"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Moldova (the Republic of)","Number","219"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Norway","Number","32"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Russian Federation (the)","Number","442"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Serbia","Number","40"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Switzerland","Number","113"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Turkiye","Number","103"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Ukraine","Number","316"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Other Europe(1)","Number","56"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Algeria","Number","217"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Angola","Number","80"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Botswana","Number","3"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Cameroon","Number","22"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Congo","Number","255"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Egypt","Number","218"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Ethiopia","Number","18"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Ghana","Number","125"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Côte d'Ivoire","Number","15"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Kenya","Number","107"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Liberia","Number","20"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Libya","Number","137"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Malawi","Number","30"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Mauritius","Number","135"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Morocco","Number","98"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Nigeria","Number","1631"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Sierra Leone","Number","41"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Somalia","Number","77"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","South Africa","Number","740"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Sudan (the)","Number","187"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Tanzania, the United Republic of","Number","43"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Togo","Number","26"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Tunisia","Number","28"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Uganda","Number","42"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Zambia","Number","105"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Zimbabwe","Number","251"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Other Africa(2)","Number","119"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Afghanistan","Number","30"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Bahrain","Number","12"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Bangladesh","Number","162"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Myanmar","Number","19"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","China","Number","340"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","United Arab Emirates (the)","Number","1"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Georgia","Number","79"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Hong Kong","Number","453"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","India","Number","891"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Indonesia","Number","18"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Iran (Islamic Republic of)","Number","169"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Iraq","Number","180"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Israel","Number","43"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Japan","Number","53"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Jordan","Number","27"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Kazakhstan","Number","57"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Kuwait","Number","20"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Lao People's Democratic Republic (the)","Number","3"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Lebanon","Number","33"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Malaysia","Number","298"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Mongolia","Number","9"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Nepal","Number","22"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Oman","Number","1"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Pakistan","Number","782"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Philippines (the)","Number","1029"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Saudi Arabia","Number","26"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Singapore","Number","63"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Korea (the Republic of) South Korea","Number","16"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Sri Lanka","Number","71"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Syrian Arab Republic (the)","Number","42"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Taiwan (Province of China)","Number","9"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Thailand","Number","58"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Uzbekistan","Number","26"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Viet Nam","Number","90"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Other Asia(1)","Number","110"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","United States of America (the)","Number","2507"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Argentina","Number","38"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Brazil","Number","292"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Canada","Number","450"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Chile","Number","37"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Colombia","Number","17"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Cuba","Number","32"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Guatemala","Number","5"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Jamaica","Number","43"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Mexico","Number","25"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Peru","Number","15"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Trinidad and Tobago","Number","20"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Venezuela (Bolivarian Republic of)","Number","21"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Other America(2)","Number","100"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Australia","Number","400"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","New Zealand","Number","205"
"Population Usually Resident and Present in the State","2011","Male","45 - 64 years","Other countries","Number","11"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","All countries","Number","240219"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Ireland - county of usual residence","Number","168244"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Ireland - county other than county of usual residence","Number","55072"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Northern Ireland","Number","3826"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Scotland","Number","1074"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","England and Wales","Number","8259"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Austria","Number","23"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Belgium","Number","45"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Bulgaria","Number","8"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Croatia","Number","6"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Cyprus","Number","13"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Czechia","Number","24"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Denmark","Number","29"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Estonia","Number","4"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Finland","Number","4"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","France","Number","80"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Germany","Number","493"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Greece","Number","3"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Hungary","Number","27"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Italy","Number","162"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Latvia","Number","34"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Lithuania","Number","35"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Luxembourg","Number","1"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Malta","Number","16"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Netherlands (the)","Number","229"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Poland","Number","120"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Portugal","Number","13"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Romania","Number","45"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Slovakia","Number","20"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Slovenia","Number","2"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Spain","Number","42"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Sweden","Number","20"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Albania","Number","6"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Belarus","Number","1"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Bosnia and Herzegovina","Number","30"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Kosovo","Number","5"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Moldova (the Republic of)","Number","2"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Norway","Number","19"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Russian Federation (the)","Number","18"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Serbia","Number","4"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Switzerland","Number","34"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Turkiye","Number","6"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Ukraine","Number","7"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Other Europe(1)","Number","6"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Algeria","Number","9"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Angola","Number","2"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Botswana","Number","1"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Cameroon","Number","0"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Congo","Number","9"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Egypt","Number","30"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Ethiopia","Number","1"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Ghana","Number","5"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Côte d'Ivoire","Number","1"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Kenya","Number","28"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Liberia","Number","0"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Libya","Number","2"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Malawi","Number","3"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Mauritius","Number","14"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Morocco","Number","3"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Nigeria","Number","19"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Sierra Leone","Number","3"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Somalia","Number","7"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","South Africa","Number","151"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Sudan (the)","Number","5"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Tanzania, the United Republic of","Number","8"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Togo","Number","1"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Tunisia","Number","1"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Uganda","Number","5"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Zambia","Number","7"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Zimbabwe","Number","30"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Other Africa(2)","Number","15"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Afghanistan","Number","3"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Bahrain","Number","0"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Bangladesh","Number","6"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Myanmar","Number","4"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","China","Number","50"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","United Arab Emirates (the)","Number","0"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Georgia","Number","3"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Hong Kong","Number","32"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","India","Number","189"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Indonesia","Number","8"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Iran (Islamic Republic of)","Number","31"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Iraq","Number","48"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Israel","Number","3"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Japan","Number","14"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Jordan","Number","0"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Kazakhstan","Number","1"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Kuwait","Number","1"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Lao People's Democratic Republic (the)","Number","2"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Lebanon","Number","2"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Malaysia","Number","34"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Mongolia","Number","1"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Nepal","Number","3"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Oman","Number","0"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Pakistan","Number","46"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Philippines (the)","Number","18"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Saudi Arabia","Number","2"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Singapore","Number","12"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Korea (the Republic of) South Korea","Number","0"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Sri Lanka","Number","22"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Syrian Arab Republic (the)","Number","7"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Taiwan (Province of China)","Number","0"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Thailand","Number","1"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Uzbekistan","Number","0"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Viet Nam","Number","29"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Other Asia(1)","Number","17"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","United States of America (the)","Number","899"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Argentina","Number","12"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Brazil","Number","12"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Canada","Number","79"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Chile","Number","4"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Colombia","Number","1"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Cuba","Number","3"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Guatemala","Number","1"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Jamaica","Number","3"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Mexico","Number","2"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Peru","Number","1"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Trinidad and Tobago","Number","16"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Venezuela (Bolivarian Republic of)","Number","1"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Other America(2)","Number","20"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Australia","Number","71"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","New Zealand","Number","34"
"Population Usually Resident and Present in the State","2011","Male","65 years and over","Other countries","Number","0"
"Population Usually Resident and Present in the State","2011","Female","All ages","All countries","Number","2281856"
"Population Usually Resident and Present in the State","2011","Female","All ages","Ireland - county of usual residence","Number","1393841"
"Population Usually Resident and Present in the State","2011","Female","All ages","Ireland - county other than county of usual residence","Number","502014"
"Population Usually Resident and Present in the State","2011","Female","All ages","Northern Ireland","Number","29476"
"Population Usually Resident and Present in the State","2011","Female","All ages","Scotland","Number","8839"
"Population Usually Resident and Present in the State","2011","Female","All ages","England and Wales","Number","107702"
"Population Usually Resident and Present in the State","2011","Female","All ages","Austria","Number","433"
"Population Usually Resident and Present in the State","2011","Female","All ages","Belgium","Number","718"
"Population Usually Resident and Present in the State","2011","Female","All ages","Bulgaria","Number","887"
"Population Usually Resident and Present in the State","2011","Female","All ages","Croatia","Number","474"
"Population Usually Resident and Present in the State","2011","Female","All ages","Cyprus","Number","103"
"Population Usually Resident and Present in the State","2011","Female","All ages","Czechia","Number","2594"
"Population Usually Resident and Present in the State","2011","Female","All ages","Denmark","Number","422"
"Population Usually Resident and Present in the State","2011","Female","All ages","Estonia","Number","1471"
"Population Usually Resident and Present in the State","2011","Female","All ages","Finland","Number","607"
"Population Usually Resident and Present in the State","2011","Female","All ages","France","Number","5081"
